env,a,,,,,,
,bug_id,Summary,STR,AR,ER,Severity,Priority
,1,"Пользователь не зарегестрирован, при заполненых обязательных полях","1. Открыть страницу регистрации.
2. Ввести валидные данные во все обязательные поля формы регистрации:
Name: Vladimir
Surname:
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir,Major,Medium
?,2,"Пользователь зарегистрирован при введенных двух подряд спецсимволах точка ""."" в конце слова в поле Name","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации:
Name: Vladimir..
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir.. Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
?,3,"Пользователь зарегистрирован при введенных двух подряд спецсимволах пробел "" "" в середине слова","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации:
Name: Vlad  imir
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vlad  imir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,4,Пользователь зарегистрирован при использовании кириллице в поле Name,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Name ввести слово Владимир
Name: Владимир
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasya Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,5,Пользователь зарегистрирован при введие четырёх знаков в поле Name,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Name ввести слово Vlad
Name: Vlad
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasya Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,6,Пользователь  не зарегистрирован при введении 69 в поле Name ,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Name ввести слово Vasyaneohvbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfh
Name: Vasyaneohvbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfh
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasyaneohvbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfh Ivanov,,
,7,Пользователь  не зарегистрирован при введении 127 в поле Name ,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Name ввести слово VasyanqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfh
Name: VasyanqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfh
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: VasyanqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfh Ivanov,,
,8,Пользователь  не зарегистрирован при введении 128 в поле Name ,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Name ввести слово Vasyanq1VasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfh
Name: Vasyanq1VasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfh
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasyanq1VasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfh Ivanov,,
,9,"Пользователь зарегистрирован при введение двух спецсимволов точка ""."" подряд в начале слова в поле Surname","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации:
Name: Vladimir
Surname: ..Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir ..Ivanov,,
,10,"Пользователь зарегистрирован при введение двух спецсимволов пробел "" "" подряд в середине слова в поле Surname","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации:
Name: Vladimir
Surname: Iva  nov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Iva  nov,,
